题目,朝代,作者,内容,来源,词牌
"山之高三章","元","张玉娘","山之高，月出小。月之小，何皎皎。我有所思在远道，一日不见兮我心悄悄。采苦采苦，于山之南。忡忡忧心，其何以堪。汝心金石坚，我操冰雪洁。拟结百岁盟，忽成一朝别。朝云暮雨心去来，千里相思共明月。","Werneror",""
"鸣雁二章 其一","元","张玉娘","鸣雁征征，白露既零。猗嗟清兮，怀彼春冰。鸣雁嗥嗥，凉风飘飖。猗嗟娈兮，怀彼春宵。","Werneror",""
"鹘兔吟","元","胡天游","村原西风动蒹葭，深秋野火如红霞。雪毛老兔誇三穴，出没草根何趫捷。银头饥鹘方贪饕，刮趐下搏翻危梢。兔兮惊奔战双股，鹘兮疾力环三五。须臾兔倦鹘亦疲，二物俱丧还可嗤。擅功惟有道傍父，鹬蚌两亡俱付汝。","Werneror",""
"楚渔父渡伍胥辞剑图歌","元","傅若金","江有阻兮路有岐，时将迫兮来何迟。子弗渡兮我心悲，既渡子兮我何以剑为，吁嗟行兮子毋我疑。","Werneror",""
"子胥谢渔父","元","胡天游","江有水兮汤汤，我将济兮无梁。穷途事迫兮心皇皇，俶丈夫兮孰舟孰航。丈人之德兮非剑何偿，胡为不顾兮乃鼓枻乎沧浪。噫衔恩誓报兮，之死靡忘。","Werneror",""
"续丽人行","元","胡天游","春江水绿春草长，暖风晴麦摇翠光。江头女儿踏春阳，宫鞋蹀?双鸳鸯。浓蛾扫翠誇时妆，青梅如豆悬钗梁。含羞避客依垂杨，绿条花貌相掩映。罗裙飒飒风逞香，我欲临流揽其裳。赠君江南充耳之明珰，愿君回贮流波双饯君。东风南浦之离章，微辞谑浪空彷徨。彤霞无影散巫峡，飘然竟学孤鸾翔。亦知佳人礼自防，岂比濮上桑间行。行云一去杳莫睹，痴心空断相思肠。","Werneror",""
"醉吕洞宾画","元","胡天游","碧眼朦胧，风须猎猎。一朵仙花红衬颊，瑶池宴罢九霞浆。人世已非唐日月，飙轮倚醉风泠泠。玉山恨不扶飞琼，城南老魅尔何物。捉臂返顾如叮咛，岩也睨之若螟蛉。拉乾坤之隘兮，不足供先生之高枕。杯洞庭之绿兮，不足助先生之解酲。噫！今夜酒醒何处？清风明月，一笛瑶京。","Werneror",""
"醉歌行","元","王恽","苍陂水涨玻璃滑，堤柳含烟翠蒲茁。当年亭馆已陈迹，老树遗台犹秀拔。我来置酒池上头，使君不负骢马游。县曹供张散平碧，呼集妓乐罗珍羞。君侯一笑开怀抱，十日东风醉芳草。自嗟客子何所有？春色三分二分老。人生欢乐不易得，况值清明时节好。终年尘土簿书里，未碍金尊重倾倒。湖光照眼明罗绮，碧潋瑶翻歌扇底。气酣急遣张水嬉，取乐不论冠佩委。溪风吹面縠纹生，两叶兰舟铙鼓起。红衣飞坠彩绳高，没入苍烟惊跃鲤。郡人亦喜岁华新，四面纵观空巷里。佳人弄水祓不祥，公子联镳特观美。锦筵香细酒不空，既醉穷欢忘誇靡。溪神捧出柘枝娘，翠袖娉婷矜便体。绣靴画鼓随节翻，罗袜尘生步秋水。一春盛集固云乐，此会宾僚尤燕喜。山阴修褉晋诸贤，畅叙幽情差可拟。客言行春似蜀守，醉到浣花而已矣。树梢晴日向斜晖，使君皂盖先醉归。就中二公最爱敬，移次临流尽馀兴。一杯未了风翻浦，山公倒载寻归路。自怜白发非春事，多为湘妃厌歌舞。呼儿觅纸纪岁时，不以斯文乌所睹。至元乙亥三月春，元巳才过日在寅。浩歌月底还自笑，醉里诗成似有神。","Werneror",""
"醉歌行","元","胡天游","醉中豪气如长虹，走上高楼叫天公。问天开辟今几年？有此日月何因缘？月者阴之魄，日者阳之精。阴阳果何物，产此团团形。一如白玉盘，一似黄金钲。得非冶铸出，无乃磨琢成。茫茫太古初，二气才胚胎。金乌从何出？玉兔从何来？扶桑谁人种？桂树何年栽？东升何所自？西没从何游？胡为天地间，奔走不暂休。但见朝朝暮暮无定辀，但见波波汲汲如奔邮。催得黄童变白叟，催得华屋成荒丘。催得秦王汉楚忽抔土，催得黄河碧海无纤流。我有如渑酒，劝天饮一石。愿天垂长绳，系此乌兔翼。一悬天之南，一挂天之北。安然不动照万国，无冬无夏无旦夕。百年三万六千作一刻，尽使世人老不得。","Werneror",""
"醉歌行","元","萨都剌","草生金谷韩信饿，古来不独诗人穷。今朝有酒且共醉，明日一饮由天公。红楼弟子年二十，饮酒食肉书不识。嗟予识字事转多，家口相煎百忧集。乃知聪明能误身，不如愚鲁全天真。百年简宪曾何畏，一日礼法能杀人。贤愚千载同一朽，我为君歌君拍手。流芳遣兴不必论，且尽樽前一壶酒。","Werneror",""
